month	longitude	latitude
2020-01-01	-1.820785	54.917558
2020-01-01	-1.809059	54.919724
2020-01-01	-1.815175	54.919644
2020-01-01	-1.814815	54.906218
2020-01-01	-1.815136	54.914405
2020-01-01	-1.815689	54.916239
2020-01-01	-1.786988	54.933553
2020-01-01	-1.575598	54.903866
2020-01-01	-1.575101	54.906659
2020-01-01	-1.575598	54.903866
2020-01-01	-1.572455	54.906164
2020-01-01	-1.573336	54.903948
2020-01-01	-1.575598	54.903866
2020-01-01	-1.573336	54.903948
2020-01-01	-1.57929	54.901291
2020-01-01	-1.580749	54.900424
2020-01-01	-1.585278	54.902767
2020-01-01	-1.580749	54.900424
2020-01-01	-1.582001	54.90299
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.57929	54.901291
2020-01-01	-1.565454	54.904486
2020-01-01	-1.578463	54.905817
2020-01-01	-1.584037	54.918786
2020-01-01	-1.568156	54.904109
2020-01-01	-1.618773	54.922871
2020-01-01	-1.610047	54.923257
2020-01-01	-1.617655	54.925573
2020-01-01	-1.618773	54.922871
2020-01-01	-1.561432	54.881404
2020-01-01	-1.565172	54.882909
2020-01-01	-1.574861	54.883545
2020-01-01	-1.575498	54.892615
2020-01-01	-1.575754	54.883045
2020-01-01	-1.57811	54.894816
2020-01-01	-1.578266	54.893298
2020-01-01	-1.581329	54.895645
2020-01-01	-1.578266	54.893298
2020-01-01	-1.578637	54.898053
2020-01-01	-1.580509	54.897943
2020-01-01	-1.579847	54.895649
2020-01-01	-1.579716	54.897752
2020-01-01	-1.57811	54.894816
2020-01-01	-1.579989	54.898489
2020-01-01	-1.582428	54.896422
2020-01-01	-1.57811	54.894816
2020-01-01	-1.57811	54.894816
2020-01-01	-1.578266	54.893298
2020-01-01	-1.578266	54.893298
2020-01-01	-1.57811	54.894816
2020-01-01	-1.567412	54.889171
2020-01-01	-1.581725	54.9567
2020-01-01	-1.592959	54.957628
2020-01-01	-1.586818	54.959494
2020-01-01	-1.592959	54.957628
2020-01-01	-1.585747	54.95887
2020-01-01	-1.592959	54.957628
2020-01-01	-1.592959	54.957628
2020-01-01	-1.580145	54.953963
2020-01-01	-1.587334	54.954841
2020-01-01	-1.579553	54.953889
2020-01-01	-1.602496	54.962754
2020-01-01	-1.605721	54.965254
2020-01-01	-1.602496	54.962754
2020-01-01	-1.596136	54.969419
2020-01-01	-1.602496	54.962754
